change~first~law~phenomenological	('phenomenological~law~first~change',)
scale	('scale',)
normalization	('normalization',)
differentiating	('differentiating',)
setting	('setting',)
solution	('solution',)
proper	('proper',)
phenomenological~probability	('phenomenological~probability',)
distribution~law	('law~distribution',)
distribution~law~phenomenological	('phenomenological~law~distribution',)
diverges	('diverges',)
physics	('physics',)
law~physics	('law~physics',)
digit~law~physics	('digit~law~physics',)
digit~first~law~physics	('first~digit~law~physics',)
human	('human',)
first~human	('first~human',)
first~human~law	('law~first~human',)
digit~first~human~law	('digit~law~first~human',)
convention	('convention',)
convention~digit	('digit~convention',)
convention~digit~first	('first~digit~convention',)
convention~digit~first~law	('law~first~digit~convention',)
impose	('impose',)
impose~phenomenon	('phenomenon~impose',)
digit~impose~phenomenon	('digit~phenomenon~impose',)
digit~first~impose~phenomenon	('first~digit~phenomenon~impose',)
cutoffs	('cutoffs',)
example	('example',)
randomly	('randomly',)
phenomenon~randomly	('phenomenon~randomly',)
digit~phenomenon~randomly	('digit~phenomenon~randomly',)
digit~leading~phenomenon~randomly	('leading~digit~phenomenon~randomly',)
street	('street',)
benford~street	('benford~street',)
benford~phenomenon~street	('phenomenon~benford~street',)
benford~digit~phenomenon~street	('digit~phenomenon~benford~street',)
addresses	('addresses',)
addresses~law	('law~addresses',)
addresses~benford~law	('benford~law~addresses',)
addresses~benford~law~phenomenon	('phenomenon~benford~law~addresses',)
obey	('obey',)
listings~obey	('listings~obey',)
law~listings~obey	('law~listings~obey',)
benford~law~listings~obey	('benford~law~listings~obey',)
something	('something',)
something~tables	('tables~something',)
listings~something~tables	('listings~tables~something',)
law~listings~something~tables	('law~listings~tables~something',)
close	('close',)
close~statistics	('statistics~close',)
close~statistics~tables	('tables~statistics~close',)
close~listings~statistics~tables	('listings~tables~statistics~close',)
benford~etc	('etc~benford',)
benford~etc~statistics	('statistics~etc~benford',)
benford~etc~statistics~tables	('tables~statistics~etc~benford',)
powers	('powers',)
phenomenological~powers	('phenomenological~powers',)
lie	('lie',)
law~lie	('law~lie',)
law~lie~phenomenological	('phenomenological~law~lie',)
decimal	('decimal',)
logarithmic	('logarithmic',)
distribution~phenomenological	('phenomenological~distribution',)
above	('above',)
tabulated	('tabulated',)
phenomenological~tabulated	('phenomenological~tabulated',)
below	('below',)
first~only	('first~only',)
first~law~only	('law~first~only',)
first~law~only~phenomenological	('phenomenological~law~first~only',)
scale-invariant	('scale-invariant',)
digit~scale-invariant	('digit~scale-invariant',)
digit~first~scale-invariant	('first~digit~scale-invariant',)
digit~first~law~scale-invariant	('law~first~digit~scale-invariant',)
variety	('variety',)
digit~variety	('digit~variety',)
digit~first~variety	('first~digit~variety',)
digit~first~law~variety	('law~first~digit~variety',)
different	('different',)
different~phenomenon	('phenomenon~different',)
different~digit~phenomenon	('digit~phenomenon~different',)
different~digit~first~phenomenon	('first~digit~phenomenon~different',)
sources	('sources',)
fact	('fact',)
digit~fact	('digit~fact',)
digit~fact~leading	('leading~digit~fact',)
digit~fact~leading~phenomenon	('phenomenon~leading~digit~fact',)
rigorous	('rigorous',)
phenomenon~rigorous	('phenomenon~rigorous',)
digit~phenomenon~rigorous	('digit~phenomenon~rigorous',)
digit~leading~phenomenon~rigorous	('leading~digit~phenomenon~rigorous',)
investigation	('investigation',)
benford~investigation	('benford~investigation',)
benford~investigation~phenomenon	('phenomenon~benford~investigation',)
benford~digit~investigation~phenomenon	('digit~phenomenon~benford~investigation',)
central	('central',)
limit	('limit',)
theorems	('theorems',)
